q,in_situ_GIWAXS_1,in_situ_GIWAXS_2,in_situ_GIWAXS_3,in_situ_GIWAXS_4,in_situ_GIWAXS_5
0.3485000196695328,1.0247247,0.99809784,0.9383743,0.8901375,0.86634743
0.3503000199079514,1.0211408,0.99666625,0.93761504,0.88313776,0.858573
0.35210002014637,1.0169183,0.9893829,0.93100137,0.8828849,0.8527752
0.35390002038478857,1.0241425,0.98978066,0.9320901,0.88830423,0.8578039
0.3557000206232071,1.0178876,0.980542,0.9206592,0.87846,0.85239923
0.3575000208616257,1.017561,0.98333895,0.92295814,0.8821741,0.855773
0.35930002110004433,1.0121468,0.97825295,0.9200728,0.8762432,0.8513141
0.36110002133846286,1.012546,0.9793194,0.91803116,0.87528735,0.85018146
0.3629000215768814,1.014201,0.9794893,0.91618323,0.87269765,0.84741884
0.36470002181530004,1.0130513,0.97555625,0.91144407,0.8701866,0.8460954
0.3665000220537186,1.0129064,0.97665507,0.909454,0.8700183,0.84742475
0.3683000222921372,1.0061101,0.96491045,0.90315634,0.8625343,0.83900183
0.37010002253055574,1.0115633,0.966259,0.91192853,0.8633849,0.8398833
0.3719000227689743,1.0105126,0.9605321,0.90653664,0.8604887,0.83627826
0.3737000230073929,1.007561,0.96177745,0.9026967,0.8644709,0.839647
0.3755000232458115,1.0038947,0.96754694,0.90630406,0.86694473,0.8381619
0.3773000234842301,0.9994622,0.9655685,0.904802,0.86211085,0.828956
0.37910002372264867,1.0016711,0.9663858,0.90336305,0.8609209,0.83084285
0.3809000239610672,0.9963417,0.95576924,0.8988857,0.85415953,0.830149
0.3827000241994858,1.0041336,0.9580846,0.90515965,0.8594413,0.8351415
0.38450002443790443,1.0022408,0.9587541,0.9045202,0.85946673,0.83238524
0.386300024676323,0.9985319,0.9622787,0.90456074,0.8580777,0.82997113
0.38810002491474155,0.99974716,0.9622473,0.9048605,0.85874206,0.83434665
0.38990002515316013,0.997903,0.9564717,0.9000225,0.8583961,0.8325277
0.3917000253915787,1.002197,0.9554643,0.9020198,0.85929614,0.83050805
0.3935000256299973,0.99585557,0.94933105,0.8980513,0.85092294,0.8270726
0.3953000258684159,0.9967546,0.95702064,0.89966756,0.8552436,0.83561534
0.3971000261068345,0.9951094,0.9536114,0.8988838,0.85508543,0.83646864
0.398900026345253,0.99665666,0.9526384,0.8997193,0.85637844,0.83523387
0.4007000265836716,0.9960727,0.95640016,0.9003834,0.8573228,0.83738375
0.4025000268220902,0.991507,0.9515182,0.89773554,0.8566165,0.8360767
0.4043000270605088,0.99270236,0.9513164,0.8992468,0.8633298,0.83786595
